"","degree","normalised.degree","nestedrank","species.strength","interaction.push.pull","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweeness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Andean Emerald",1,0.0303030303030303,0.833333333333333,0.109375,-0.890625,1,1,1,0.109375,1.41176470588235,0,0,0.0515267175572519,0.032384738277858,0.319257335418221,0,1,0.120527306967985,0.0436359455772111,0.384405265443973
"Booted Racket-tail",8,0.242424242424242,0.333333333333333,1.89729161554819,0.112161451943524,0.947916666666667,0.78125,0.477337996078251,0.395691610564143,1.05882352941176,0.111895743145743,0,0.0629770992366412,0.0833304638726495,3.00706666611936,1.60654607218486,4.98556168546533,0.333003766478343,0.217549698378794,0.508632388285028
"Brown Inca",12,0.363636363636364,0.166666666666667,3.41983831227252,0.201653192689377,0.924632352941176,0.65625,0.360552035788589,0.386639085606871,1,0.16606240981241,0.144981412639405,0.0648854961832061,0.0937639193912063,4.59450053425385,2.12649587374723,8.38543165809863,0.398110266900448,0.365906239474214,0.451418043060637
"Buff-tailed Coronet",2,0.0606060606060606,0.722222222222222,0.729910714285714,-0.135044642857143,0.996875,0.96875,0.910793859523358,0.650771103896104,1.35294117647059,0.0122655122655123,0,0.0534351145038168,0.0371534848769759,0.715330569455624,0.304636097349238,1.35613141338627,0.117274439308338,0.0591760765500697,0.796323284335045
"Collared Inca",6,0.181818181818182,0.444444444444444,0.739211665527455,-0.0434647224120908,0.973214285714286,0.84375,0.562643801474146,0.240398198292935,1.29411764705882,0.0514700577200577,0.00371747211895911,0.0553435114503817,0.0392911476796844,4.32190678745298,1.41051355711484,4.09805945133898,0.244531363175431,0.178822699190803,0.441071360443225
"Green-crowned Woodnymph",7,0.212121212121212,0.388888888888889,1.99110679160021,0.141586684514316,0.981418918918919,0.8125,0.634632041588103,0.436594451427748,1.11764705882353,0.103860028860029,0.189591078066914,0.0610687022900763,0.0965579518168784,2.06757841825725,1.29712530467121,3.65876370441255,0.342749529190207,0.159653613885621,0.539418428527129
"Green-crowned Brilliant",3,0.0909090909090909,0.666666666666667,0.38030303030303,-0.206565656565657,0.9375,0.9375,0.559016994374947,0.126767676767677,1.47058823529412,0.00608766233766234,0,0.049618320610687,0.00915435286876708,26518.5586544692,1.09861228866811,3,0.0885122410546139,0.130907836731633,0.400524554517781
"Green-fronted Lancebill",3,0.0909090909090909,0.555555555555556,0.692982456140351,-0.10233918128655,0.975,0.9375,0.64370167923647,0.33625730994152,1.47058823529412,0.00284090909090909,0,0.049618320610687,0.0237866870609823,1.57578414109913,0.936888307539016,2.55202792428089,0.124293785310734,0.111360151615444,0.598812314296904
"Hoary Puffleg",1,0.0303030303030303,0.888888888888889,0.0454545454545455,-0.954545454545455,1,1,1,0.0454545454545454,1.64705882352941,0,0,0.0438931297709924,0.0137856719698317,0.525260979927648,0,1,0.124293785310734,0.0436359455772111,0.226344782383967
"Purple-bibbed Whitetip",2,0.0606060606060606,0.777777777777778,0.228693181818182,-0.385653409090909,0.9765625,0.96875,0.703489842985436,0.12398538961039,1.41176470588235,0,0,0.0515267175572519,0.0288291727595065,0.935404516141207,0.682908104700472,1.97962633005252,0.16195856873823,0.0863828668013858,0.364178166508917
"Speckled Hummingbird",4,0.121212121212121,0.5,0.564724164724165,-0.108818958818959,0.953125,0.90625,0.507444578254611,0.192944832944833,1.41176470588235,0.026010101010101,0,0.0515267175572519,0.0167411331452761,9.28413206082182,1.33217904021012,3.789291416276,0.199623352165725,0.165349314016812,0.389973035826044
"Stripe-throated Hermit",10,0.303030303030303,0.277777777777778,3.009040685192,0.2009040685192,0.947916666666667,0.71875,0.424448171158741,0.350255672233468,1.23529411764706,0.0456800144300144,0,0.0572519083969466,0.0831397568887345,4.27960436208373,1.89754005220545,6.6694677037347,0.317419962335217,0.291028529749134,0.488506767198656
"Tawny-bellied Hermit",21,0.636363636363636,0.0555555555555556,6.56432279343464,0.264967752068316,0.907608695652174,0.375,0.293994554322456,0.480614353635247,1.05882352941176,0.111895743145743,0.260223048327138,0.0629770992366412,0.0979719836169312,8.55783178715829,2.55356653766832,12.8528623520519,0.496264564061174,0.56084680210552,0.444985698870276
"Fawn-breasted Brilliant",1,0.0303030303030303,0.944444444444444,1,0,1,1,1,1,NA,0,0,0,NA,0.795904611997693,0,1,0.00376647834274953,0.0436359455772111,1
"Gorgeted Sunangel",22,0.666666666666667,0,4.22663157383552,0.146665071537978,0.897916666666667,0.34375,0.263548871772391,0.248524903173855,1,0.16606240981241,0.338289962825279,0.0648854961832061,0.0991104727532773,11.8512790834,2.71060864490734,15.0384257912306,0.65204213747646,0.656215929393065,0.187031882170158
"Tyrian Metaltail",12,0.363636363636364,0.111111111111111,3.1461652200139,0.178847101667825,0.928819444444444,0.65625,0.364923756267714,0.363927741093776,1,0.16606240981241,0.0631970260223048,0.0648854961832061,0.0854694725751576,4.55176347998553,2.10124666469617,8.17635673675829,0.404896421845574,0.356783057585048,0.431711286714361
"Wedge-billed Hummingbird",3,0.0909090909090909,0.611111111111111,0.275990675990676,-0.241336441336441,0.96875,0.9375,0.608104979971934,0.0945609945609946,1.47058823529412,0.00901875901875902,0,0.049618320610687,0.0232350096222596,2.38771407267496,1.01140426470735,2.74945927399721,0.129943502824859,0.1199752552469,0.34817185976128
"White-necked Jacobin",1,0.0303030303030303,1,0.015625,-0.984375,1,1,1,0.015625,1.41176470588235,0,0,0.0515267175572519,0.0049720612947586,8196.04299273653,0,1,0.120527306967985,0.0436359455772111,0.00734467648565004
"White-whiskered Hermit",11,0.333333333333333,0.222222222222222,3.96333257385889,0.269393870350808,0.920833333333333,0.6875,0.366500631253412,0.455844729032415,1.35294117647059,0.0207882395382395,0,0.0534351145038168,0.0821364614651423,4.21891011140595,2.04769797936758,7.75003980412022,0.259958071278826,0.33818031511381,0.603693026595206
